Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms
Platform Computing,IBM,2011,11-10-2011,Undisclosed amount,Undisclosed,Undisclosed
Platform Solutions,IBM,2008,02-07-2008,Undisclosed amount,Undisclosed,Undisclosed
Princeton Softech,IBM,2007,13-09-2007,Undisclosed amount,Undisclosed,Undisclosed
Productivity Solutions,IBM,2003,13-11-2003,Undisclosed amount,Undisclosed,Undisclosed
PSS Systems,IBM,2010,13-10-2010,Undisclosed amount,Undisclosed,Undisclosed
PureEdge Solutions,IBM,2005,05-08-2005,Undisclosed amount,Undisclosed,Undisclosed
PwC Consulting,IBM,2002,02-10-2002,Undisclosed amount,Undisclosed,Undisclosed
Q1 Labs,IBM,2011,04-10-2011,Undisclosed amount,Undisclosed,Undisclosed
Rational Software,IBM,2003,21-02-2003,Undisclosed amount,Undisclosed,Undisclosed
RedPill Solutions,IBM,2009,22-09-2009,Undisclosed amount,Undisclosed,Undisclosed
Rembo Technology,IBM,2006,18-05-2006,Undisclosed amount,Undisclosed,Undisclosed
Silverpop,IBM,2014,10-04-2014,Undisclosed amount,Undisclosed,Undisclosed
Softek Storage Solutions,IBM,2007,01-03-2007,Undisclosed amount,Undisclosed,Undisclosed
SoftLayer,IBM,2013,05-06-2013,Undisclosed amount,Undisclosed,Undisclosed
Solid Information Technology,IBM,2007,21-12-2007,Undisclosed amount,Undisclosed,Undisclosed
SPSS,IBM,2009,28-07-2009,"$1,200,000,000",Undisclosed,Cash
SRD,IBM,2005,07-01-2005,Undisclosed amount,Undisclosed,Undisclosed
Star Analytics,IBM,2013,01-02-2013,Undisclosed amount,Undisclosed,Undisclosed
Sterling Commerce,IBM,2010,24-05-2010,"$1,400,000,000",Undisclosed,Cash
Storwize,IBM,2010,14-06-2010,"$140,000,000",Undisclosed,Undisclosed
Systemcorp A.L.G.,IBM,2004,19-11-2004,Undisclosed amount,Undisclosed,Undisclosed
Tarian Software,IBM,2002,15-11-2002,Undisclosed amount,Undisclosed,Undisclosed
Tealeaf,IBM,2012,02-05-2012,Undisclosed amount,Undisclosed,Undisclosed
Telelogic,IBM,2008,31-10-2008,Undisclosed amount,Undisclosed,Undisclosed
Texas Memory Systems,IBM,2012,16-08-2012,Undisclosed amount,Undisclosed,Undisclosed
