Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms
Rockmelt,Yahoo,2013,01-08-2013,"$65,000,000",Undisclosed,Undisclosed
Rondee,Yahoo,2013,13-06-2013,Undisclosed amount,Undisclosed,Undisclosed
SearchFox,Yahoo,2006,16-01-2006,Undisclosed amount,Undisclosed,Undisclosed
SkyPhrase,Yahoo,2013,02-12-2013,Undisclosed amount,Undisclosed,Undisclosed
Snip.it,Yahoo,2013,22-01-2013,"$10,000,000",Undisclosed,"Cash, Stock"
Sold.com.au,Yahoo,2001,01-02-2001,"$30,000,000",Undisclosed,Undisclosed
SPARQ,Yahoo,2014,21-01-2014,Undisclosed amount,Undisclosed,Undisclosed
Sportasy,Yahoo,1998,01-09-1998,Undisclosed amount,Undisclosed,Undisclosed
Stadeon,Yahoo,2005,01-03-2005,Undisclosed amount,Undisclosed,Undisclosed
Stamped,Yahoo,2012,25-10-2012,Undisclosed amount,Undisclosed,Undisclosed
Stata Labs,Yahoo,2004,01-10-2004,Undisclosed amount,Undisclosed,Undisclosed
Summly,Yahoo,2013,25-03-2013,"$30,000,000",Undisclosed,Undisclosed
TeRespondo,Yahoo,2005,01-04-2005,Undisclosed amount,Undisclosed,Undisclosed
The All-Seeing Eye,Yahoo,2004,01-09-2004,Undisclosed amount,Undisclosed,Undisclosed
Tomfoolery,Yahoo,2014,28-01-2014,"$16,000,000",Undisclosed,Undisclosed
Tumblr,Yahoo,2013,20-05-2013,"$1,100,000,000",Undisclosed,Undisclosed
Upcoming,Yahoo,2005,05-10-2005,"$1,000,000",Undisclosed,Cash
Verdisoft,Yahoo,2005,01-02-2005,"$93,000,000",Undisclosed,Cash
Viaweb,Yahoo,1998,01-06-1998,"$49,000,000",Undisclosed,Cash
VivaSmart,Yahoo,2000,30-06-2000,"$8,900,000",Undisclosed,Undisclosed
Vizify,Yahoo,2014,05-03-2014,Undisclosed amount,Undisclosed,Undisclosed
Wander,Yahoo,2014,11-02-2014,Undisclosed amount,Undisclosed,Undisclosed
Webcal,Yahoo,1998,01-07-1998,Undisclosed amount,Undisclosed,Undisclosed
WebJay,Yahoo,2006,10-01-2006,Undisclosed amount,Undisclosed,Undisclosed
Whereonearth,Yahoo,2005,18-10-2005,Undisclosed amount,Undisclosed,Undisclosed
WRETCH,Yahoo,2006,14-12-2006,Undisclosed amount,Undisclosed,Undisclosed
WUF Networks,Yahoo,2004,07-12-2004,Undisclosed amount,Undisclosed,Undisclosed
Xobni,Yahoo,2013,08-07-2013,"$48,000,000",Undisclosed,Undisclosed
Xoopit,Yahoo,2009,23-07-2009,"$20,000,000",Undisclosed,Cash
Yoyodyne Entertainment,Yahoo,1998,01-12-1998,"$29,600,000",Undisclosed,Cash
Zimbra,Yahoo,2007,01-09-2007,"$350,000,000",Undisclosed,Cash
Zofari,Yahoo,2014,12-08-2014,Undisclosed amount,Undisclosed,Undisclosed
Ztelic,Yahoo,2013,18-07-2013,Undisclosed amount,Undisclosed,Undisclosed
